Abel, Clarence, New York Rangers, 1928,  Chicago Blackhawks, 1934, {2}
Abel, Sid, Detroit Red Wings, 1943-50-52, {3}
Acer, Douglas, Montreal Victorias, 1899, {1}
Acton, Keith, Edmonton Oilers, 1988, {1}
Adams, Craig, Carolina Hurricanes, 2006,  Pittsburgh Penguins, 2009, {2}
Adams, Jack, Toronto Arenas, 1918,  Ottawa Senators, 1927, {2}
Adams, John M., Boston Bruins, 1970, {1}
Adams, Kevyn, Carolina Hurricanes, 2006, {1}
Aebischer, David, Colorado Avalanche, 2001, {1}
Afanasenkov, Dmitry, Tampa Bay Lightning, 2004, {1}
Aitkenhead, Andy, New York Rangers, 1933, {1}
Albelin, Tommy, New Jersey Devils, 1995–2003, {2}
Allan, Angus, Ottawa Senators, 1905, {1}
Allen, Keith, Detroit Red Wings, 1954, {1}
Anderson, Doug, Montreal Canadiens, 1953, {1}
Anderson, Glenn, Edmonton Oilers, 1984-85-87-88-90,  New York Rangers, 1994, {6}
Anderson, John, Victoria Cougars, 1925, {1}
Andreychuk, Dave, Tampa Bay Lightning, 2004, {1}
Andrews, Lloyd, Toronto St. Pats, 1922, {1}
Apps, Syl Sr., Toronto Maple Leafs, 1942-47-48, {3}
Arbour, Al, Detroit Red Wings, 1954,  Chicago Blackhawks, 1961,  Toronto Maple Leafs, 1962–64, {4}
Arbour, Amos, Montreal Canadiens, 1916, {1}
Armytage, Jack, Winnipeg Victorias, 1896, {1}
Armstrong, George, Toronto Maple Leafs, 1962-63-64-67, {4}
Arnott, Jason, New Jersey Devils, 2000, {1}
Ashbee, Barry, Philadelphia Flyers, 1974, {1}
Asmundson, Ossie, New York Rangers, 1933, {1}
Aurie, Larry, Detroit Red Wings, 1936–37, {2}
Awrey, Don, Boston Bruins, 1970–72,  Montreal Canadiens, 1976, {3}
Babando, Pete, Detroit Red Wings, 1950, {1}
Babchuk, Anton, Carolina Hurricanes, 2006, {1}
Backor, Pete, Toronto Maple Leafs, 1945, {1}
Backstrom, Ralph, Montreal Canadiens, 1959-60-65-66-68-69, {6}
Bailey, Garnet, Boston Bruins, 1970–72, {2}
Bailey, Irvine, Toronto Maple Leafs, 1932, {1}
Bain, Dan, Winnipeg Victorias, 1896-1901-02, {3}
Balfour, Earl, Chicago Blackhawks, 1961, {1}
Balfour, Murray, Chicago Blackhawks, 1961, {1}
Balon, David, Montreal Canadiens, 1965–66, {2}
Barber, Bill, Philadelphia Flyers, 1974–75, {2}
Barilko, Bill, Toronto Maple Leafs, 1947-48-49-51, {4}
Barlow, Billy, Montreal AAA, 1893–94, {2}
Barrasso, Tom, Pittsburgh Penguins, 1991–92, {2}
Barry, Marty, Detroit Red Wings, 1936–37, {2}
Bathgate, Andy, Toronto Maple Leafs, 1964, {1}
Bauer, Bobby, Boston Bruins, 1939–41, {2}
Baun, Bob, Toronto Maple Leafs, 1962-63-64-67, {4}
Bawlf, Billy, Ottawa Senators, 1905, {1}
